row_idx,gold,pred,latency_s,src_ip
167,injection,ddos,0.0000,192.168.0.128
168,recon,benign,0.0000,192.168.0.128
169,recon,benign,0.0000,192.168.0.128
170,brute-force,ddos,0.0000,192.168.0.128
171,ddos,benign,0.0000,192.168.0.128
172,ddos,benign,0.0000,192.168.0.128
173,recon,benign,0.0000,192.168.0.128
174,recon,benign,0.0000,192.168.0.128
175,recon,benign,0.0000,192.168.0.128
176,benign,ddos,0.0000,192.168.3.12
177,recon,benign,0.0000,192.168.0.128
178,ddos,benign,0.0000,192.168.0.128
179,brute-force,ddos,0.0000,192.168.0.128
180,recon,benign,0.0000,192.168.0.128
181,injection,ddos,0.0000,192.168.0.128
182,ddos,benign,0.0000,192.168.0.128
183,recon,benign,0.0000,192.168.0.128
184,recon,benign,0.0000,192.168.0.128
185,recon,benign,0.0000,192.168.0.128
186,recon,benign,0.0000,192.168.0.128
187,injection,ddos,0.0000,192.168.0.128
188,recon,benign,0.0000,192.168.0.128
189,injection,ddos,0.0000,192.168.0.128
190,ddos,benign,0.0000,192.168.0.128
191,ddos,benign,0.0000,192.168.0.128
192,recon,benign,0.0000,192.168.0.128
193,ddos,benign,0.0000,192.168.0.128
194,benign,benign,0.0000,192.168.3.12
195,benign,benign,0.0000,192.168.3.12
196,injection,ddos,0.0000,192.168.0.128
197,ddos,benign,0.0000,192.168.0.128
198,recon,benign,0.0000,192.168.0.128
199,recon,benign,0.0000,192.168.0.128
200,recon,benign,0.0000,192.168.0.128
201,brute-force,ddos,0.0000,192.168.0.128
202,ddos,benign,0.0000,192.168.0.128
203,ddos,benign,0.0000,192.168.0.128
204,ddos,benign,0.0000,192.168.0.128
205,ddos,benign,0.0000,192.168.0.128
206,injection,ddos,0.0000,192.168.0.128
207,benign,ddos,0.0000,192.168.3.12
208,recon,benign,0.0000,192.168.0.128
209,recon,benign,0.0000,192.168.0.128
210,recon,benign,0.0000,192.168.0.128
211,ddos,benign,0.0000,192.168.0.128
212,ddos,benign,0.0000,192.168.0.128
213,recon,benign,0.0000,192.168.0.128
214,ddos,benign,0.0000,192.168.0.128
215,ddos,benign,0.0000,192.168.0.128
216,ddos,benign,0.0000,192.168.0.128
217,brute-force,ddos,0.0000,192.168.0.128
218,recon,benign,0.0000,192.168.0.128
219,benign,benign,0.0000,192.168.3.12
220,ddos,benign,0.0000,192.168.0.128
221,recon,benign,0.0000,192.168.0.128
222,ddos,benign,0.0000,192.168.0.128
223,brute-force,ddos,0.0000,192.168.0.128
224,recon,benign,0.0000,192.168.0.128
225,ddos,benign,0.0000,192.168.0.128
226,recon,benign,0.0000,192.168.0.128
227,ddos,benign,0.0000,192.168.0.128
228,ddos,benign,0.0000,192.168.0.128
229,recon,benign,0.0000,192.168.0.128
230,recon,benign,0.0000,192.168.0.128
231,ddos,benign,0.0000,192.168.0.128
232,injection,ddos,0.0000,192.168.0.128
233,ddos,benign,0.0000,192.168.0.128
234,ddos,benign,0.0000,192.168.0.128
235,recon,benign,0.0000,192.168.0.128
236,ddos,benign,0.0000,192.168.0.128
237,ddos,benign,0.0000,192.168.0.128
238,ddos,benign,0.0000,192.168.0.128
239,ddos,benign,0.0000,192.168.0.128
240,injection,ddos,0.0000,192.168.0.128
241,recon,benign,0.0000,192.168.0.128
242,exfil,benign,0.0000,192.168.0.170
243,recon,benign,0.0000,192.168.0.128
244,recon,benign,0.0000,192.168.0.128
245,ddos,benign,0.0000,192.168.0.128
246,benign,ddos,0.0000,192.168.3.12
247,injection,ddos,0.0000,192.168.0.128
248,ddos,benign,0.0000,192.168.0.128
249,recon,benign,0.0000,192.168.0.128
250,ddos,benign,0.0000,192.168.0.128
251,injection,ddos,0.0000,192.168.0.128
252,recon,benign,0.0000,192.168.0.128
253,ddos,benign,0.0000,192.168.0.128
254,ddos,benign,0.0000,192.168.0.128
255,ddos,benign,0.0000,192.168.0.128
256,benign,benign,0.0000,192.168.3.12
257,injection,ddos,0.0000,192.168.0.128
258,benign,benign,0.0000,192.168.3.12
259,ddos,benign,0.0000,192.168.0.128
260,recon,benign,0.0000,192.168.0.128
261,recon,benign,0.0000,192.168.0.128
262,recon,benign,0.0000,192.168.0.128
263,recon,benign,0.0000,192.168.0.128
264,recon,benign,0.0000,192.168.0.128
265,ddos,benign,0.0000,192.168.0.128
266,recon,benign,0.0000,192.168.0.128
267,brute-force,ddos,0.0000,192.168.0.128
268,recon,benign,0.0000,192.168.0.128
269,brute-force,ddos,0.0000,192.168.0.128
270,recon,benign,0.0000,192.168.0.128
271,ddos,benign,0.0000,192.168.0.128
272,benign,benign,0.0000,192.168.3.12
273,injection,ddos,0.0000,192.168.0.128
274,ddos,benign,0.0000,192.168.0.128
275,ddos,benign,0.0000,192.168.0.128
276,recon,benign,0.0000,192.168.0.128
277,benign,ddos,0.0000,192.168.3.12
278,ddos,benign,0.0000,192.168.0.128
279,benign,benign,0.0000,192.168.3.12
280,recon,benign,0.0000,192.168.0.128
281,recon,benign,0.0000,192.168.0.128
282,recon,benign,0.0000,192.168.0.128
283,ddos,benign,0.0000,192.168.0.128
284,recon,benign,0.0000,192.168.0.128
285,ddos,benign,0.0000,192.168.0.128
286,ddos,benign,0.0000,192.168.0.128
287,brute-force,ddos,0.0000,192.168.0.128
288,brute-force,ddos,0.0000,192.168.0.128
289,ddos,benign,0.0000,192.168.0.128
290,recon,benign,0.0000,192.168.0.128
291,recon,benign,0.0000,192.168.0.128
292,benign,ddos,0.0000,192.168.3.12
293,injection,ddos,0.0000,192.168.0.128
294,recon,benign,0.0000,192.168.0.128
295,recon,benign,0.0000,192.168.0.128
296,ddos,benign,0.0000,192.168.0.128
297,recon,benign,0.0000,192.168.0.128
298,recon,benign,0.0000,192.168.0.128
299,ddos,benign,0.0000,192.168.0.128
300,recon,benign,0.0000,192.168.0.128
301,benign,ddos,0.0000,192.168.3.12
302,mqtt-mitm,benign,0.0000,192.168.0.128
303,recon,benign,0.0000,192.168.0.128
304,ddos,benign,0.0000,192.168.0.128
305,recon,benign,0.0000,192.168.0.128
306,injection,ddos,0.0000,192.168.0.128
307,ddos,benign,0.0000,192.168.0.128
308,recon,benign,0.0000,192.168.0.128
309,ddos,benign,0.0000,192.168.0.128
310,recon,benign,0.0000,192.168.0.128
311,recon,benign,0.0000,0.0.0.0
312,ddos,benign,0.0000,192.168.0.128
313,recon,benign,0.0000,192.168.0.128
314,benign,benign,0.0000,192.168.3.12
315,benign,benign,0.0000,192.168.3.12
316,ddos,benign,0.0000,192.168.0.128
317,brute-force,ddos,0.0000,192.168.0.128
318,recon,benign,0.0000,192.168.0.128
319,brute-force,ddos,0.0000,192.168.0.128
320,brute-force,ddos,0.0000,192.168.0.128
321,recon,benign,0.0000,192.168.0.128
322,ddos,benign,0.0000,192.168.0.128
323,ddos,benign,0.0000,192.168.0.128
324,injection,ddos,0.0000,192.168.0.128
325,recon,benign,0.0000,192.168.0.128
326,recon,benign,0.0000,192.168.0.128
327,ddos,benign,0.0000,192.168.0.128
328,recon,benign,0.0000,192.168.0.128
329,recon,benign,0.0000,192.168.0.128
330,brute-force,ddos,0.0000,192.168.0.128
331,recon,benign,0.0000,192.168.0.128
332,recon,benign,0.0000,192.168.0.128
333,recon,benign,0.0000,192.168.0.128
334,ddos,benign,0.0000,192.168.0.128
335,ddos,benign,0.0000,192.168.0.128
336,ddos,benign,0.0000,192.168.0.128
337,ddos,benign,0.0000,192.168.0.128
338,recon,benign,0.0000,192.168.0.128
339,recon,benign,0.0000,192.168.0.128
340,ddos,benign,0.0000,192.168.0.128
341,ddos,benign,0.0000,192.168.0.128
342,recon,benign,0.0000,192.168.0.128
343,recon,benign,0.0000,192.168.0.128
344,ddos,benign,0.0000,192.168.0.128
345,recon,benign,0.0000,192.168.0.128
346,recon,benign,0.0000,192.168.0.128
347,recon,benign,0.0000,192.168.0.128
348,recon,benign,0.0000,192.168.0.128
349,ddos,benign,0.0000,192.168.0.128
350,recon,benign,0.0000,192.168.0.128
351,ddos,benign,0.0000,192.168.0.128
352,brute-force,ddos,0.0000,192.168.0.128
353,benign,ddos,0.0000,192.168.3.12
354,recon,benign,0.0000,192.168.0.128
355,brute-force,ddos,0.0000,192.168.0.128
356,ddos,benign,0.0000,192.168.0.128
357,recon,benign,0.0000,192.168.0.128
358,ddos,benign,0.0000,192.168.0.128
359,benign,benign,0.0000,192.168.3.12
360,ddos,benign,0.0000,192.168.0.128
361,ddos,benign,0.0000,192.168.0.128
362,recon,benign,0.0000,192.168.0.128
363,benign,ddos,0.0000,192.168.3.12
364,exfil,benign,0.0000,192.168.0.170
365,injection,ddos,0.0000,192.168.0.128
366,brute-force,ddos,0.0000,192.168.0.128
367,recon,benign,0.0000,192.168.0.128
368,recon,benign,0.0000,192.168.0.128
369,brute-force,ddos,0.0000,192.168.0.128
370,ddos,benign,0.0000,192.168.0.128
371,ddos,benign,0.0000,192.168.0.128
372,recon,benign,0.0000,192.168.0.128
373,injection,ddos,0.0000,192.168.0.128
374,injection,ddos,0.0000,192.168.0.128
375,brute-force,benign,0.0000,192.168.0.128
376,ddos,benign,0.0000,192.168.0.128
377,ddos,benign,0.0000,192.168.0.128
378,recon,benign,0.0000,192.168.0.128
379,recon,benign,0.0000,192.168.0.128
380,recon,benign,0.0000,192.168.0.128
381,ddos,benign,0.0000,192.168.0.128
382,ddos,benign,0.0000,192.168.0.128
383,recon,benign,0.0000,192.168.0.128
384,brute-force,ddos,0.0000,192.168.0.128
385,recon,benign,0.0000,192.168.0.128
386,benign,ddos,0.0000,192.168.3.12
387,benign,benign,0.0000,192.168.3.12
388,recon,benign,0.0000,192.168.0.128
389,ddos,benign,0.0000,192.168.0.128
390,injection,ddos,0.0000,192.168.0.128
391,ddos,benign,0.0000,192.168.0.128
392,recon,benign,0.0000,192.168.0.128
393,recon,benign,0.0000,192.168.0.128
394,recon,benign,0.0000,192.168.0.128
395,brute-force,ddos,0.0000,192.168.0.128
396,brute-force,ddos,0.0000,192.168.0.128
397,brute-force,ddos,0.0000,192.168.0.128
398,recon,benign,0.0000,192.168.0.128
399,recon,benign,0.0000,192.168.0.128
400,recon,benign,0.0000,192.168.0.128
401,ddos,benign,0.0000,192.168.0.128
402,benign,benign,0.0000,192.168.3.12
403,recon,benign,0.0000,192.168.0.128
404,benign,benign,0.0000,192.168.3.12
405,recon,benign,0.0000,192.168.0.128
406,ddos,benign,0.0000,192.168.0.128
407,ddos,benign,0.0000,192.168.0.128
408,ddos,benign,0.0000,192.168.0.128
409,benign,ddos,0.0000,192.168.3.12
410,ddos,benign,0.0000,192.168.0.128
411,recon,benign,0.0000,192.168.0.128
412,benign,ddos,0.0000,192.168.3.12
413,recon,benign,0.0000,192.168.0.128
414,ddos,benign,0.0000,192.168.0.128
415,benign,ddos,0.0000,192.168.3.12
416,ddos,benign,0.0000,192.168.0.128
417,benign,ddos,0.0000,192.168.3.12
418,ddos,benign,0.0000,192.168.0.128
419,brute-force,ddos,0.0000,192.168.0.128
420,recon,benign,0.0000,192.168.0.128
421,brute-force,ddos,0.0000,192.168.0.128
422,ddos,benign,0.0000,192.168.0.128
423,recon,benign,0.0000,192.168.0.128
424,ddos,benign,0.0000,192.168.0.128
425,brute-force,ddos,0.0000,192.168.0.128
426,ddos,benign,0.0000,192.168.0.128
427,ddos,benign,0.0000,192.168.0.128
428,injection,ddos,0.0000,192.168.0.128
429,injection,ddos,0.0000,192.168.0.128
430,recon,benign,0.0000,192.168.0.128
431,recon,benign,0.0000,192.168.0.128
432,recon,benign,0.0000,192.168.0.128
433,recon,benign,0.0000,192.168.0.128
434,recon,benign,0.0000,192.168.0.128
435,recon,benign,0.0000,192.168.0.128
436,brute-force,ddos,0.0000,192.168.0.128
437,recon,benign,0.0000,192.168.0.128
438,exfil,benign,0.0000,192.168.0.170
439,ddos,benign,0.0000,192.168.0.128
440,benign,benign,0.0000,192.168.3.12
441,benign,ddos,0.0000,192.168.3.12
442,benign,benign,0.0000,192.168.3.12
443,recon,benign,0.0000,192.168.0.128
444,recon,benign,0.0000,192.168.0.128
445,exfil,benign,0.0000,192.168.0.170
446,ddos,benign,0.0000,192.168.0.128
447,recon,benign,0.0000,192.168.0.128
448,recon,benign,0.0000,192.168.0.128
449,benign,ddos,0.0000,192.168.3.12
450,recon,benign,0.0000,192.168.0.128
451,brute-force,ddos,0.0000,192.168.0.128
452,ddos,benign,0.0000,192.168.0.128
453,benign,ddos,0.0000,192.168.3.12
454,recon,benign,0.0000,192.168.0.128
455,benign,benign,0.0000,192.168.3.12
456,injection,ddos,0.0000,192.168.0.128
457,recon,benign,0.0000,192.168.0.128
458,recon,benign,0.0000,192.168.0.128
459,recon,benign,0.0000,192.168.0.128
460,benign,ddos,0.0000,192.168.3.12
461,ddos,benign,0.0000,192.168.0.128
462,ddos,benign,0.0000,192.168.0.128
463,brute-force,ddos,0.0000,192.168.0.128
464,ddos,benign,0.0000,192.168.0.128
465,recon,benign,0.0000,192.168.0.128
466,recon,benign,0.0000,192.168.0.128
467,injection,ddos,0.0000,192.168.0.128
468,recon,benign,0.0000,192.168.0.128
469,benign,ddos,0.0000,192.168.3.12
470,injection,ddos,0.0000,192.168.0.128
471,ddos,benign,0.0000,192.168.0.128
472,brute-force,ddos,0.0000,192.168.0.128
473,recon,benign,0.0000,192.168.0.128
474,injection,ddos,0.0000,192.168.0.128
475,ddos,benign,0.0000,192.168.0.128
476,recon,benign,0.0000,192.168.0.128
477,ddos,benign,0.0000,192.168.0.128
478,recon,benign,0.0000,192.168.0.128
479,exfil,benign,0.0000,192.168.0.170
480,recon,benign,0.0000,192.168.0.128
481,benign,ddos,0.0000,192.168.3.12
482,ddos,benign,0.0000,192.168.0.128
483,ddos,benign,0.0000,192.168.0.128
484,exfil,benign,0.0000,192.168.0.170
485,brute-force,ddos,0.0000,192.168.0.128
486,recon,benign,0.0000,192.168.0.128
487,recon,benign,0.0000,192.168.0.128
488,brute-force,ddos,0.0000,192.168.0.128
489,recon,benign,0.0000,192.168.0.128
490,ddos,benign,0.0000,192.168.0.128
491,recon,benign,0.0000,192.168.0.128
492,brute-force,ddos,0.0000,192.168.0.128
493,recon,benign,0.0000,192.168.0.128
494,recon,benign,0.0000,192.168.0.128
495,recon,benign,0.0000,192.168.0.128
496,recon,benign,0.0000,192.168.0.128
497,recon,benign,0.0000,192.168.0.128
498,injection,ddos,0.0000,192.168.0.128
499,ddos,benign,0.0000,192.168.0.128
500,recon,benign,0.0000,192.168.0.128
501,recon,benign,0.0000,192.168.0.128
502,injection,ddos,0.0000,192.168.0.128
503,brute-force,ddos,0.0000,192.168.0.128
504,ddos,benign,0.0000,192.168.0.128
505,ddos,benign,0.0000,192.168.0.128
506,recon,benign,0.0000,192.168.0.128
507,benign,benign,0.0000,192.168.3.12
508,ddos,benign,0.0000,192.168.0.128
509,ddos,benign,0.0000,192.168.0.128
510,ddos,benign,0.0000,192.168.0.128
511,recon,benign,0.0000,192.168.0.128
512,recon,benign,0.0000,192.168.0.128
513,recon,benign,0.0000,192.168.0.128
514,benign,ddos,0.0000,192.168.3.12
515,ddos,benign,0.0000,192.168.0.128
516,ddos,benign,0.0000,192.168.0.128
517,ddos,benign,0.0000,192.168.0.128
518,injection,ddos,0.0000,192.168.0.128
519,recon,benign,0.0000,192.168.0.128
520,brute-force,ddos,0.0000,192.168.0.128
521,ddos,benign,0.0000,192.168.0.128
522,recon,benign,0.0000,192.168.0.128
523,recon,benign,0.0000,192.168.0.128
524,recon,benign,0.0000,192.168.0.128
525,recon,benign,0.0000,192.168.0.128
526,injection,ddos,0.0000,192.168.0.128
527,brute-force,ddos,0.0000,192.168.0.128
528,recon,benign,0.0000,192.168.0.128
529,ddos,benign,0.0000,192.168.0.128
530,recon,benign,0.0000,192.168.0.128
531,recon,benign,0.0000,192.168.0.128
532,recon,benign,0.0000,192.168.0.128
533,benign,ddos,0.0000,192.168.3.12
534,brute-force,ddos,0.0000,192.168.0.128
535,benign,ddos,0.0000,192.168.3.12
536,recon,benign,0.0000,192.168.0.128
537,recon,benign,0.0000,192.168.0.128
538,recon,benign,0.0000,192.168.0.128
539,recon,benign,0.0000,192.168.0.128
540,recon,benign,0.0000,192.168.0.128
541,ddos,benign,0.0000,192.168.0.128
542,brute-force,ddos,0.0000,192.168.0.128
543,brute-force,ddos,0.0000,192.168.0.128
544,ddos,benign,0.0000,192.168.0.128
545,brute-force,ddos,0.0000,192.168.0.128
546,benign,ddos,0.0000,192.168.3.12
547,ddos,benign,0.0000,192.168.0.128
548,injection,ddos,0.0000,192.168.0.128
549,injection,ddos,0.0000,192.168.0.128
550,benign,ddos,0.0000,192.168.3.12
551,recon,benign,0.0000,192.168.0.128
552,ddos,benign,0.0000,192.168.0.128
553,recon,benign,0.0000,192.168.0.128
554,ddos,benign,0.0000,192.168.0.128
555,recon,benign,0.0000,192.168.0.128
556,recon,benign,0.0000,192.168.0.128
557,recon,benign,0.0000,192.168.0.128
558,injection,ddos,0.0000,192.168.0.128
559,ddos,benign,0.0000,192.168.0.128
560,brute-force,ddos,0.0000,192.168.0.128
561,ddos,benign,0.0000,192.168.0.128
562,brute-force,ddos,0.0000,192.168.0.128
563,ddos,benign,0.0000,192.168.0.128
564,ddos,benign,0.0000,192.168.0.128
565,recon,benign,0.0000,192.168.0.128
566,recon,benign,0.0000,192.168.0.128
567,benign,benign,0.0000,192.168.3.12
568,recon,benign,0.0000,192.168.0.128
569,ddos,benign,0.0000,192.168.0.128
570,recon,benign,0.0000,192.168.0.128
571,recon,benign,0.0000,192.168.0.128
572,benign,ddos,0.0000,192.168.3.12
573,ddos,benign,0.0000,192.168.0.128
574,injection,ddos,0.0000,192.168.0.128
575,ddos,benign,0.0000,192.168.0.128
576,ddos,benign,0.0000,192.168.0.128
577,ddos,benign,0.0000,192.168.0.128
578,injection,ddos,0.0000,192.168.0.128
579,ddos,benign,0.0000,192.168.0.128
580,recon,benign,0.0000,192.168.0.128
581,recon,benign,0.0000,192.168.0.128
582,recon,benign,0.0000,192.168.0.128
583,recon,benign,0.0000,192.168.0.128
584,recon,benign,0.0000,192.168.0.128
585,recon,benign,0.0000,192.168.0.128
586,ddos,benign,0.0000,192.168.0.128
587,recon,benign,0.0000,192.168.0.128
588,brute-force,ddos,0.0000,192.168.0.128
589,benign,benign,0.0000,192.168.3.12
590,injection,ddos,0.0000,192.168.0.128
591,recon,benign,0.0000,192.168.0.128
592,recon,benign,0.0000,192.168.0.128
593,ddos,benign,0.0000,192.168.0.128
594,brute-force,ddos,0.0000,192.168.0.128
595,recon,benign,0.0000,192.168.0.128
596,benign,ddos,0.0000,192.168.3.12
597,exfil,benign,0.0000,192.168.0.170
598,benign,benign,0.0000,192.168.3.12
599,ddos,benign,0.0000,192.168.0.128
600,recon,benign,0.0000,192.168.0.128
601,ddos,benign,0.0000,192.168.0.128
602,injection,ddos,0.0000,192.168.0.128
603,ddos,benign,0.0000,192.168.0.128
604,ddos,benign,0.0000,192.168.0.128
605,recon,benign,0.0000,192.168.0.128
606,benign,ddos,0.0000,192.168.3.12
607,ddos,benign,0.0000,192.168.0.128
608,brute-force,ddos,0.0000,192.168.0.128
609,recon,benign,0.0000,192.168.0.128
610,recon,benign,0.0000,192.168.0.128
611,recon,benign,0.0000,192.168.0.128
612,recon,benign,0.0000,192.168.0.128
613,recon,benign,0.0000,192.168.0.128
614,recon,benign,0.0000,192.168.0.128
615,ddos,benign,0.0000,192.168.0.128
616,recon,benign,0.0000,192.168.0.128
617,recon,benign,0.0000,192.168.0.128
618,ddos,benign,0.0000,192.168.0.128
619,benign,benign,0.0000,192.168.3.12
620,recon,benign,0.0000,192.168.0.128
621,recon,benign,0.0000,192.168.0.128
622,ddos,benign,0.0000,192.168.0.128
623,injection,ddos,0.0000,192.168.0.128
624,ddos,benign,0.0000,192.168.0.128
625,recon,benign,0.0000,192.168.0.128
626,exfil,benign,0.0000,192.168.0.170
627,recon,benign,0.0000,192.168.0.128
628,ddos,benign,0.0000,192.168.0.128
629,injection,ddos,0.0000,192.168.0.128
630,ddos,benign,0.0000,192.168.0.128
631,benign,benign,0.0000,192.168.3.12
632,recon,benign,0.0000,192.168.0.128
633,recon,benign,0.0000,192.168.0.128
634,ddos,benign,0.0000,192.168.0.128
635,ddos,benign,0.0000,192.168.0.128
636,recon,benign,0.0000,192.168.0.128
637,ddos,benign,0.0000,192.168.0.128
638,ddos,benign,0.0000,192.168.0.128
639,injection,ddos,0.0000,192.168.0.128
640,brute-force,ddos,0.0000,192.168.0.128
